18911	19142
45619	46536
74360	74778
356602	357290
380027	380402
382177	382344
471947	472140
496068	496234
507129	507698
526988	527821
560273	561046
575082	576084
626512	627306
709472	709822
729236	729940
761011	761341
794768	795390
878820	879752
986324	987806
993560	994112
1043509	1043874
1094930	1095461
1121280	1121841
1132122	1132969
1137394	1138198
1155253	1156058
1162707	1163423
1209390	1209673
1287888	1289146
1441932	1442740
1448227	1448544
1460367	1460989
1587684	1588060
1767699	1768363
1773825	1774964
1794606	1795123
1843643	1844609
1882277	1883029
1904808	1905070
1956531	1956786
1965195	1965724
2045222	2045864
2059063	2059892
2062969	2063656
